"","PPG","SECTOR 2","TRADING COMPANY","PRODUCT RANGE","FORMAT","PPG_Description","Discount","Display","Display_Cost","Display_Flag","Event_Multiplier","Event_Multiplier_Discount","Event_Multiplier_Display","Event_Multiplier_Tesco","Event_Multiplier_Discount_Tesco","Event_Multiplier_Display_Tesco","ROI_GM","ROI_Rev","ROI_NIS","Promo_Price","RSP_Unit","R_ROI_GM","R_ROI_Rev","R_ROI_NIS","Flag_Event_Exist_in_History","Flag_Historical_Display_Event"
"1","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.963002114164905," ",0,0,25757.6134715507,25757.6134715507,0,25757.6134715507,25757.6134715507,0,-1.22727833945881,-0.960639844722645,-0.947951791350967,0.5,13.5142857142857,-0.0321588968191305,0.231525366586184,0.256621292064101,1,0
"2","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.92600422832981," ",0,0,4388.51736541081,4388.51736541081,0,4388.51736541081,4388.51736541081,0,-1.18576165183692,-0.914188782930829,-0.888343069554823,1,13.5142857142857,0.00549738966529063,0.279440950936329,0.305518224988967,1,0
"3","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.889006342494715," ",0,0,1557.1214352033,1557.1214352033,0,1557.1214352033,1557.1214352033,0,-1.13344729030853,-0.858989474096434,-0.819809061412747,1.5,13.5142857142857,0.04619612985535,0.331227892788077,0.3583719162198,1,0
"4","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.852008456659619," ",0,0,745.612863654502,745.612863654502,0,745.612863654502,745.612863654502,0,-1.06959359067364,-0.794864245586617,-0.742572012288802,2,13.5142857142857,0.0903197404893872,0.38737279672179,0.415681387130408,1,0
"5","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.815010570824524," ",0,0,420.535719752563,420.535719752563,0,420.535719752563,420.535719752563,0,-0.99484951594645,-0.722791669905325,-0.658061997729346,2.5,13.5142857142857,0.138317735402374,0.448447644738006,0.478033033951594,1,0
"6","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.778012684989429," ",0,0,262.929603250062,262.929603250062,0,262.929603250062,262.929603250062,0,-0.911031021626034,-0.644667279438369,-0.568617404183084,3,13.5142857142857,0.190721973320078,0.515129198249388,0.546120604304698,1,0
"7","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.741014799154334," ",0,0,176.416775398436,176.416775398436,0,176.416775398436,176.416775398436,0,-0.820797839568616,-0.562989002231917,-0.477113757408826,3.5,13.5142857142857,0.248166317767009,0.588224014248424,0.620770908593101,1,0
"8","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.704016913319239," ",0,0,124.587381668703,124.587381668703,0,124.587381668703,124.587381668703,0,-0.72724529612414,-0.480490626659821,-0.386555610443291,4,13.5142857142857,0.311412233335937,0.668701015173591,0.70297727855071,1,0
"9","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.667019027484144," ",0,0,91.4497489923356,91.4497489923356,0,91.4497489923356,91.4497489923356,0,-0.633487819360945,-0.399791822519179,-0.299707528417201,4.5,13.5142857142857,0.381382502895827,0.757734392229675,0.793943636670999,1,0
"10","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.630021141649049," ",0,0,69.1697362495221,69.1697362495221,0,69.1697362495221,69.1697362495221,0,-0.542315414814406,-0.323129786650263,-0.218829807339201,5,13.5142857142857,0.459206228591062,0.856760866721135,0.895143316698719,1,0
