"","PPG","SECTOR 2","TRADING COMPANY","PRODUCT RANGE","FORMAT","PPG_Description","Discount","Display","Display_Cost","Display_Flag","Event_Multiplier","Event_Multiplier_Discount","Event_Multiplier_Display","Event_Multiplier_Tesco","Event_Multiplier_Discount_Tesco","Event_Multiplier_Display_Tesco","ROI_GM","ROI_Rev","ROI_NIS","Promo_Price","RSP_Unit","R_ROI_GM","R_ROI_Rev","R_ROI_NIS","Flag_Event_Exist_in_History","Flag_Historical_Display_Event"
"1","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.963002114164905,"GH",140,1,25632.0428029999,332.413618408283,25299.6291845916,25632.0428029999,332.413618408283,25299.6291845916,-1.22905606258667,-0.962031339719828,-0.949324907594772,0.5,13.5142857142857,-0.0321589014385752,0.231525360708191,0.256621290839263,1,1
"2","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.92600422832981,"GH",140,1,4367.15022413367,56.6072296293272,4310.54299450434,4367.15022413367,56.6072296293272,4310.54299450434,-1.19584602347531,-0.921963548981357,-0.895898029391734,1,13.5142857142857,0.00549736043893619,0.279440913747377,0.305518216108602,1,1
"3","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.889006342494715,"GH",140,1,1549.56121592091,20.063003199011,1529.4982127219,1549.56121592091,20.063003199011,1529.4982127219,-1.16063427696072,-0.879593286524519,-0.839473088315941,1.5,13.5142857142857,0.0461960409328537,0.331227779639018,0.358371885759618,1,1
"4","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.852008456659619,"GH",140,1,742.009856934969,9.58903427349646,732.420822661472,742.009856934969,9.58903427349646,732.420822661472,-1.12323707355538,-0.834729187676044,-0.779814334397875,2,13.5142857142857,0.0903195397502889,0.387372541292163,0.415681310599181,1,1
"5","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.815010570824524,"GH",140,1,418.517908067128,5.39333256066597,413.124575506462,418.517908067128,5.39333256066597,413.124575506462,-1.0834741444595,-0.787180446510145,-0.716684431728159,2.5,13.5142857142857,0.138317350214286,0.448447154607033,0.478032872193041,1,1
"6","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.778012684989429,"GH",140,1,261.680336625114,3.35914386002454,258.321192765089,261.680336625114,3.35914386002454,258.321192765089,-1.04116292910247,-0.736751720878384,-0.649838861712132,3,13.5142857142857,0.190721305826107,0.515128348899473,0.546120298160846,1,1
"7","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.741014799154334,"GH",140,1,175.589376959759,2.2425411495357,173.346835810223,175.589376959759,2.2425411495357,173.346835810223,-0.996114844663628,-0.683239740007498,-0.579022109266216,3.5,13.5142857142857,0.248165238811803,0.588222641336381,0.620770371978714,1,1
"8","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.704016913319239,"GH",140,1,124.012722307817,1.57359016320488,122.439132144612,124.012722307817,1.57359016320488,122.439132144612,-0.948132391724113,-0.626430627305466,-0.503964614714277,4,13.5142857142857,0.311410574778977,0.668698904749721,0.702976389487891,1,1
"9","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.667019027484144,"GH",140,1,91.0366808467838,1.14588977027501,89.8907910765088,91.0366808467838,1.14588977027501,89.8907910765088,-0.897006672030767,-0.566097596927453,-0.424380145018861,4.5,13.5142857142857,0.381380048004932,0.757731268514016,0.793942225733043,1,1
"10","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.630021141649049,"GH",140,1,68.8653135938858,0.858326373769016,68.0069872201168,68.8653135938858,0.858326373769016,68.0069872201168,-0.842515141279933,-0.501998892922063,-0.339963462240406,5,13.5142857142857,0.459202700214619,0.856756377053277,0.895141152232498,1,1
