"","Key","PPG","SECTOR 2","TRADING COMPANY","PRODUCT RANGE","FORMAT","PPG_Description","DISPLAY TYPE_HEA","Flag_Display_HEA","Base_Units","Base_Units_Tesco","Units","Display_Cost","ACV_D","ACV_D_Any_Promo","ACV_D_Multibuy_Display","ACV_D_Multibuy_Only","ACV_D_Feature_Display","ACV_D_Display_Only","ACV_D_Feature_Only","ACV_D_Unsupported","ACV_D_Total_Multibuy","ACV_D_Multibuy_Feature_Display","ACV_D_Multibuy_Feature","Total Regular Price Elasticiy_Betas","Regular Price Elasticity_Betas","Reg Price Ratio Rest of Brand_Betas","Reg Price Ratio Rest of Manufacturer_Betas","Reg Price Ratio Rest of Category_Betas","Promoted Price Elasticity_Betas","Display Only_Betas","Feature Only_Betas","Feature and Display_Betas","Multi Buy_Betas","Total Multibuy Effect_Betas","RSP_Unit","Net_Cost_Unit","FM%","VAT","COGS_Unit","OID_Unit","UNCR_Unit","STP_Unit","RSP_Unit_Min","Promo_Price","Event_Multiplier","Event_Multiplier_Display","Event_Multiplier_Discount","ROI_GM","ROI_Rev","ROI_NIS","R_ROI_GM","R_ROI_Rev","R_ROI_NIS","Event_Multiplier_Tesco","Event_Multiplier_Display_Tesco","Event_Multiplier_Discount_Tesco","Display_Flag","Display","Discount"
"1","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","GH",1,488,1095,97268,140,13.5756249299753,13.5753266534064,0,0,13.0193660582268,13.5720435781865,13.0226491334467,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,0.5,25632.0428029999,25299.6291845916,332.413618408283,-1.22905606258667,-0.962031339719828,-0.949324907594772,-0.0321589014385752,0.231525360708191,0.256621290839263,25632.0428029999,25299.6291845916,332.413618408283,1,"GH",0.963002114164905
"2","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","GH",1,488,1095,97268,140,13.5756249299753,13.5753266534064,0,0,13.0193660582268,13.5720435781865,13.0226491334467,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,1,4367.15022413367,4310.54299450434,56.6072296293272,-1.19584602347531,-0.921963548981357,-0.895898029391734,0.00549736043893619,0.279440913747377,0.305518216108602,4367.15022413367,4310.54299450434,56.6072296293272,1,"GH",0.92600422832981
"3","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","GH",1,488,1095,97268,140,13.5756249299753,13.5753266534064,0,0,13.0193660582268,13.5720435781865,13.0226491334467,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,1.5,1549.56121592091,1529.4982127219,20.063003199011,-1.16063427696072,-0.879593286524519,-0.839473088315941,0.0461960409328537,0.331227779639018,0.358371885759618,1549.56121592091,1529.4982127219,20.063003199011,1,"GH",0.889006342494715
"4","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","GH",1,488,1095,97268,140,13.5756249299753,13.5753266534064,0,0,13.0193660582268,13.5720435781865,13.0226491334467,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,2,742.009856934969,732.420822661472,9.58903427349646,-1.12323707355538,-0.834729187676044,-0.779814334397875,0.0903195397502889,0.387372541292163,0.415681310599181,742.009856934969,732.420822661472,9.58903427349646,1,"GH",0.852008456659619
"5","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","GH",1,488,1095,97268,140,13.5756249299753,13.5753266534064,0,0,13.0193660582268,13.5720435781865,13.0226491334467,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,2.5,418.517908067128,413.124575506462,5.39333256066597,-1.0834741444595,-0.787180446510145,-0.716684431728159,0.138317350214286,0.448447154607033,0.478032872193041,418.517908067128,413.124575506462,5.39333256066597,1,"GH",0.815010570824524
"6","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","GH",1,488,1095,97268,140,13.5756249299753,13.5753266534064,0,0,13.0193660582268,13.5720435781865,13.0226491334467,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,3,261.680336625114,258.321192765089,3.35914386002454,-1.04116292910247,-0.736751720878384,-0.649838861712132,0.190721305826107,0.515128348899473,0.546120298160846,261.680336625114,258.321192765089,3.35914386002454,1,"GH",0.778012684989429
"7","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","GH",1,488,1095,97268,140,13.5756249299753,13.5753266534064,0,0,13.0193660582268,13.5720435781865,13.0226491334467,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,3.5,175.589376959759,173.346835810223,2.2425411495357,-0.996114844663628,-0.683239740007498,-0.579022109266216,0.248165238811803,0.588222641336381,0.620770371978714,175.589376959759,173.346835810223,2.2425411495357,1,"GH",0.741014799154334
"8","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","GH",1,488,1095,97268,140,13.5756249299753,13.5753266534064,0,0,13.0193660582268,13.5720435781865,13.0226491334467,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,4,124.012722307817,122.439132144612,1.57359016320488,-0.948132391724113,-0.626430627305466,-0.503964614714277,0.311410574778977,0.668698904749721,0.702976389487891,124.012722307817,122.439132144612,1.57359016320488,1,"GH",0.704016913319239
"9","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","GH",1,488,1095,97268,140,13.5756249299753,13.5753266534064,0,0,13.0193660582268,13.5720435781865,13.0226491334467,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,4.5,91.0366808467838,89.8907910765088,1.14588977027501,-0.897006672030767,-0.566097596927453,-0.424380145018861,0.381380048004932,0.757731268514016,0.793942225733043,91.0366808467838,89.8907910765088,1.14588977027501,1,"GH",0.667019027484144
"10","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","GH",1,488,1095,97268,140,13.5756249299753,13.5753266534064,0,0,13.0193660582268,13.5720435781865,13.0226491334467,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,5,68.8653135938858,68.0069872201168,0.858326373769016,-0.842515141279933,-0.501998892922063,-0.339963462240406,0.459202700214619,0.856756377053277,0.895141152232498,68.8653135938858,68.0069872201168,0.858326373769016,1,"GH",0.630021141649049
