"","PPG","SECTOR 2","TRADING COMPANY","PRODUCT RANGE","FORMAT","PPG_Description","Display","Discount","Display_Cost","Display_Flag","Event_Multiplier","Event_Multiplier_Discount","Event_Multiplier_Display","Event_Multiplier_Tesco","Event_Multiplier_Discount_Tesco","Event_Multiplier_Display_Tesco","ROI_GM","ROI_Rev","ROI_NIS","Promo_Price","RSP_Unit","R_ROI_GM","R_ROI_Rev","R_ROI_NIS","Flag_Event_Exist_in_History","Flag_Historical_Display_Event","Flag_Event_More_Than_90_Percent"
"1","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.963002114164905,0,0,25757.6134715507,25757.6134715507,0,25757.6134715507,25757.6134715507,0,-1.22727833945881,-0.960639844722645,-0.947951791350967,0.5,13.5142857142857,-0.0321588968191305,0.231525366586184,0.256621292064101,1,0,0
"2","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.92600422832981,0,0,4388.51736541081,4388.51736541081,0,4388.51736541081,4388.51736541081,0,-1.18576165183692,-0.914188782930829,-0.888343069554823,1,13.5142857142857,0.00549738966529063,0.279440950936329,0.305518224988967,1,0,0
"3","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.889006342494715,0,0,1557.1214352033,1557.1214352033,0,1557.1214352033,1557.1214352033,0,-1.13344729030853,-0.858989474096434,-0.819809061412747,1.5,13.5142857142857,0.04619612985535,0.331227892788077,0.3583719162198,1,0,0
"4","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.852008456659619,0,0,745.612863654502,745.612863654502,0,745.612863654502,745.612863654502,0,-1.06959359067364,-0.794864245586617,-0.742572012288802,2,13.5142857142857,0.0903197404893872,0.38737279672179,0.415681387130408,1,0,0
"5","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.815010570824524,0,0,420.535719752563,420.535719752563,0,420.535719752563,420.535719752563,0,-0.99484951594645,-0.722791669905325,-0.658061997729346,2.5,13.5142857142857,0.138317735402374,0.448447644738006,0.478033033951594,1,0,0
"6","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.778012684989429,0,0,262.929603250062,262.929603250062,0,262.929603250062,262.929603250062,0,-0.911031021626034,-0.644667279438369,-0.568617404183084,3,13.5142857142857,0.190721973320078,0.515129198249388,0.546120604304698,1,0,0
"7","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.741014799154334,0,0,176.416775398436,176.416775398436,0,176.416775398436,176.416775398436,0,-0.820797839568616,-0.562989002231917,-0.477113757408826,3.5,13.5142857142857,0.248166317767009,0.588224014248424,0.620770908593101,1,0,0
"8","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.704016913319239,0,0,124.587381668703,124.587381668703,0,124.587381668703,124.587381668703,0,-0.72724529612414,-0.480490626659821,-0.386555610443291,4,13.5142857142857,0.311412233335937,0.668701015173591,0.70297727855071,1,0,0
"9","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.667019027484144,0,0,91.4497489923356,91.4497489923356,0,91.4497489923356,91.4497489923356,0,-0.633487819360945,-0.399791822519179,-0.299707528417201,4.5,13.5142857142857,0.381382502895827,0.757734392229675,0.793943636670999,1,0,0
"10","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.630021141649049,0,0,69.1697362495221,69.1697362495221,0,69.1697362495221,69.1697362495221,0,-0.542315414814406,-0.323129786650263,-0.218829807339201,5,13.5142857142857,0.459206228591062,0.856760866721135,0.895143316698719,1,0,0
"11","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.593023255813953,0,0,53.5770900638157,53.5770900638157,0,53.5770900638157,53.5770900638157,0,-0.455973686774466,-0.252206892086226,-0.1455477104916,5.5,13.5142857142857,0.546279772990547,0.967557234362584,1.00839872856018,1,0,0
"12","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.556025369978858,0,0,42.3017756928597,42.3017756928597,0,42.3017756928597,42.3017756928597,0,-0.376076029358643,-0.188152416229522,-0.0808437621415862,6,13.5142857142857,0.644350630292691,1.09234708684302,1.13599101482405,1,0,0
"13","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.519027484143763,0,0,33.9236017350846,33.9236017350846,0,33.9236017350846,33.9236017350846,0,-0.303623763940642,-0.131570879596425,-0.0251375967386032,6.5,13.5142857142857,0.755634952435148,1.23395035743296,1.28081373464917,1,0,0
"14","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.482029598308668,0,0,27.5534696122013,27.5534696122013,0,27.5534696122013,27.5534696122013,0,-0.239095097897699,-0.0826403584952478,0.0215887221578058,7,13.5142857142857,0.882985593412795,1.39599714827449,1.44659264739408,1,0,0
"15","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.445031712473573,0,0,22.6138964160336,22.6138964160336,0,22.6138964160336,22.6138964160336,0,-0.18256476621496,-0.0412280027388273,0.0596551274412249,7.5,13.5142857142857,1.0301379272896,1.58324052048305,1.63820727480755,1,0,0
"16","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.408033826638478,0,0,18.717834693273,18.717834693273,0,18.717834693273,18.717834693273,0,-0.133825972239631,-0.00700012777868842,0.0895604583449837,8,13.5142857142857,1.20207888793274,1.80202607721473,1.86217374335577,1,0,0
"17","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.371035940803383,0,0,15.5987451348404,15.5987451348404,0,15.5987451348404,15.5987451348404,0,-0.0924980012878831,0.0204850574174553,0.111882574367299,8.5,13.5142857142857,1.4056177650776,2.06101827073342,2.12739173873183,1,0,0
"18","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.334038054968288,0,0,13.0686846003217,13.0686846003217,0,13.0686846003217,13.0686846003217,0,-0.0581126416938565,0.0417057961825202,0.127203691124928,9,13.5142857142857,1.65030016838893,2.37236337216053,2.44634075693396,1,0,0
"19","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.297040169133192,0,0,10.9923435311912,10.9923435311912,0,10.9923435311912,10.9923435311912,0,-0.0301790004247814,0.057124852873324,0.136057953191853,9.5,13.5142857142857,1.94993233812085,2.75362907420331,2.83707557242096,1,0,0
"20","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.260042283298097,0,0,9.27049125059633,9.27049125059633,0,9.27049125059633,9.27049125059633,0,-0.00822974766194439,0.0671535171671671,0.138896112956236,10,13.5142857142857,2.32525023071621,3.23120075797016,3.32672092962409,1,0,0
"21","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.223044397463002,0,0,7.82914640887801,7.82914640887801,0,7.82914640887801,7.82914640887801,0,0.0081468288395726,0.0721270240928217,0.136061778866487,10.5,13.5142857142857,2.80887856044715,3.84659160477949,3.95796558061502,1,0,0
"22","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.186046511627907,0,0,6.61232916914628,6.61232916914628,0,6.61232916914628,6.61232916914628,0,0.0192844245405009,0.072287014688626,0.127774101249944,11,13.5142857142857,3.45525130423704,4.66906590105704,4.80205547475704,1,0,0
"23","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.149048625792812,0,0,5.57711023272535,5.57711023272535,0,5.57711023272535,5.57711023272535,0,0.0254217908143141,0.0677670959124854,0.114112348154163,11.5,13.5142857142857,4.36243622320289,5.82340955955538,5.98738179808744,1,0,0
"24","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.112050739957717,0,0,4.69016581339856,4.69016581339856,0,4.69016581339856,4.69016581339856,0,0.0266875046857406,0.058577907957159,0.0949981980569039,12,13.5142857142857,5.72667303127156,7.55932698406381,7.77092877385285,1,0,0
"25","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.0750528541226216,0,0,3.92534001845573,3.92534001845573,0,3.92534001845573,3.92534001845573,0,0.0230828390584338,0.0445881289497206,0.0701714816257897,12.5,13.5142857142857,8.00581491504807,10.45941154825,10.7524092716374,1,0,0
"26","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.0380549682875264,0,0,3.26189353292026,3.26189353292026,0,3.26189353292026,3.26189353292026,0,0.0144588642914771,0.0254973279984328,0.039154290908601,13,13.5142857142857,12.5716167812795,16.2691470498633,16.7289234716611,1,0,0
"27","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%"," ",0.00105708245243129,0,0,2.68322769458412,2.68322769458412,0,2.68322769458412,2.68322769458412,0,0.000482926799522253,0.000795224321738074,0.00119646453316451,13.5,13.5142857142857,26.2496028868241,33.6736433018102,34.6435132676585,1,0,0
"28","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","G-area",0.963002114164905,630,1,26403.3865668462,312.443235515796,26090.9433313304,26403.3865668462,312.443235515796,26090.9433313304,-1.22905746333581,-0.962032436142206,-0.949325989535692,0.5,13.5142857142857,-0.0321588737566975,0.23152539593188,0.256621298179062,1,1,0
"29","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","G-area",0.889006342494715,630,1,1596.20384065696,18.8576799701494,1577.34616068681,1596.20384065696,18.8576799701494,1577.34616068681,-1.16065615000794,-0.879609863137725,-0.8394889088331,1.5,13.5142857142857,0.0461965761062943,0.331228460618226,0.358372069081966,1,1,0
"30","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","G-area",0.852008456659619,630,1,764.351273856078,9.01295472859739,755.33831912748,764.351273856078,9.01295472859739,755.33831912748,-1.12328126229948,-0.834762026366415,-0.7798450127087,2,13.5142857142857,0.0903207539731694,0.387374086324993,0.415681773518298,1,1,0
