"","PPG","Week End Date","SECTOR 2","TRADING COMPANY","PRODUCT RANGE","FORMAT","PPG_Description","Inc_GM_Abs","Trade_Investment","Units","Gross_Sales","Net_Cost_Total","GM_Abs","FM_Total","Retailer_Revenue","Net_Revenue","Base_Units","Total_Inc_Unit_Sales","No_Of_Units","ACV_D","ACV_D_Any_Promo","ACV_D_Multibuy_Display","ACV_D_Multibuy_Only","ACV_D_Feature_Display","ACV_D_Display_Only","ACV_D_Feature_Only","ACV_D_Unsupported","ACV_D_Total_Multibuy","ACV_D_Multibuy_Feature_Display","ACV_D_Multibuy_Feature","Total Regular Price Elasticiy_Betas","Regular Price Elasticity_Betas","Reg Price Ratio Rest of Brand_Betas","Reg Price Ratio Rest of Manufacturer_Betas","Reg Price Ratio Rest of Category_Betas","Promoted Price Elasticity_Betas","Display Only_Betas","Feature Only_Betas","Feature and Display_Betas","Multi Buy_Betas","Total Multibuy Effect_Betas","Flag_Display_HEA","Flag_TPR_HEA","Display_Num","Inc_Revenue","NIS","Inc_NIS","Display_Cost","Retro_Fund_Total","VAT","R_GM_Inc","R_Net_Revenue_Inc","R_NIS_Inc","R_Total_Trade_Inv_Inc","Value","Units_Sale_in_Case"
"11","D77",2024-01-10,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,80,1472,1315.2,1190.4,86.7047619047617,1472,1472,6,0,18,1.97562774289126,1.97562774289126,0,0,1.21406111112774,1.97562774289126,1.21406111112774,1,0,0,0,-3.2427087637828,-3.2427087637828,0.62073959881726,0.62073959881726,0.990578325666161,-2.4612149440043,1.5,1.58610364211843,2.37915546317765,0,0,0,0,0,0,1472,0,0,0,0.05,0,0,0,0,1472,4.44444444444444
"12","D77",2024-01-11,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,5,95.5,82.2,77.9,8.75238095238094,95.5,95.5,5,0,18,0.123611217833756,0.0522143461059253,0,0,0,0,0.0522143461059253,1,0,0,0,-3.15433741881663,-3.15433741881663,0.636512384069038,0.636512384069038,1.01574858906738,-2.39677895486518,1.5,1.47181652286139,2.20772478429209,0,0,0,0,0,0,95.5,0,0,0,0.05,0,0,0,0,95.5,0.277777777777778
"13","D77",2024-01-12,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,9,160,147.96,128.32,4.42095238095236,160,160,6,0,18,0.335577527299919,0.335577527299919,0,0,0,0,0.335577527299919,1,0,0,0,-3.29731570375091,-3.29731570375091,0.607078081530856,0.607078081530856,0.968777230737771,-2.46385261118814,1.5,1.72925785808738,2.59388678713107,0,0,0,0,0,0,160,0,0,0,0.05,0,0,0,0,160,0.5
"14","D77",2024-01-13,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,13,238.5,213.72,192.74,13.4228571428571,238.5,238.5,5,0,18,0.387074166631607,0.387074166631607,0,0,0,0,0.387074166631607,1,0,0,0,-3.06817081392102,-3.06817081392102,0.617785610582122,0.617785610582122,0.985864341371335,-2.25029780864206,1.5,1.6648688345634,2.4973032518451,0,0,0,0,0,0,238.5,0,0,0,0.05,0,0,0,0,238.5,0.722222222222222
"15","D77",2024-01-14,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,23,426,378.12,345.04,27.5942857142857,426,426,7,0,18,0.346513568364757,0.253562627723742,0,0,0,0,0.253562627723742,1,0,0,0,-3.24163037824189,-2.77945847780403,0.622269367856155,0.622269367856155,0.993019536209343,-2.46770279054867,1.5,1.68764369064707,2.5314655359706,0,0,0,0,0,0,426,0,0,0,0.05,0,0,0,0,426,1.27777777777778
"16","D77",2024-01-15,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,4,75,65.76,60.92,5.66857142857142,75,75,5,0,18,0.133815520021758,0.133815520021758,0,0,0,0,0.133815520021758,1,0,0,0,-3.1446460162956,-3.1446460162956,0.629433148052295,0.629433148052295,1.00445152058033,-2.30605972232014,1.5,1.62248282990597,2.43372424485895,0,0,0,0,0,0,75,0,0,0,0.05,0,0,0,0,75,0.222222222222222
"17","D77",2024-01-17,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",119.497238997431,6517.82,736,11329.6,12099.84,2221.06,-1063.18476190476,11329.6,4811.78,7,39.5981954121496,18,11.3070560595023,11.3070560595023,0,0,11.3070560595023,11.3070560595023,11.3070560595023,1,0,0,0,-3.1928436286601,-2.61512875311278,0.631106971107765,0.631106971107765,1.00712261300445,-2.40485185076107,1.5,1.69107684080743,2.53661526121115,0,0,1,1,1,258.882886848197,8747.2,470.615944170048,140,3795.42,0.05,-344.312901853035,-204.927254002268,510.683141460802,855.921586578007,11329.6,40.8888888888889
"18","D77",2024-01-18,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",148.013636529564,6451.99,784,12150.4,12888.96,2938.73,-1054.51047619048,12150.4,5698.41,7,39.4873605398176,18,11.6749375228821,11.6749375228821,0,0,11.6749375228821,11.6749375228821,11.6749375228821,1,0,0,0,-3.20440789932863,-2.87900115310198,0.61830615650332,0.61830615650332,0.986695030291511,-2.41792306904568,1.5,1.69399397509571,2.54099096264356,0,0,1,1,1,287.009145629722,9908.8,499.071885353245,140,4070.39,0.05,-344.950588345856,-205.955079245698,509.618186535141,855.127286520299,12150.4,43.5555555555556
"19","D77",2024-01-19,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",137.976275154976,24818.78,2976,45030.4,48925.44,9736.1,-5042.38476190477,45030.4,20211.62,7,42.1747306273774,18,13.6133291186788,13.6133291186788,0,0,13.6133291186788,13.6133291186788,13.6133291186788,1,0,0,0,-3.23731557616044,-2.89441384357752,0.618773003613939,0.618773003613939,0.987440026470361,-2.44558910554272,1.5,1.70069162594294,2.5510374389144,0,0,1,1,1,286.431326963345,35436.8,502.196738674815,140,15085.18,0.05,-327.460760923064,-179.005709114696,537.467825645476,872.358280628781,45030.4,165.333333333333
"20","D77",2024-01-20,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",120.5860529441,13367.3,1520,23092.8,24988.8,4375.1,-2486.45714285715,23092.8,9725.5,7,41.8940825295495,18,12.9187270349628,12.9187270349628,0,0,12.9187270349628,12.9187270349628,12.9187270349628,1,0,0,0,-3.18652784215566,-2.57110946946736,0.628290531972844,0.628290531972844,1.0026281300233,-2.40704228242431,1.5,1.70548954167777,2.55823431251666,0,0,1,1,1,268.053223448114,17601.6,485.133475692183,140,7736.1,0.05,-332.570119736622,-185.102949232608,531.276568414791,873.841666018401,23092.8,84.4444444444444
